case,test_id,theta1,theta2,true_pt,variable,delta_deg,base_pt,minus_pt,plus_pt,central_sensitivity_pt_per_deg,base_type_pred,minus_type_pred,plus_type_pred
Case4,054,-17.0,-44.0,3858.23,theta1,5.0,3738.9022129361115,4677.0521814965705,5173.97100592755,49.69188244309798,2,2,2
Case4,054,-17.0,-44.0,3858.23,theta2,5.0,3738.9022129361115,4329.379931354725,5478.842046761989,114.94621154072638,2,2,2
Case4,113,35.0,-2.0,7296.78,theta1,5.0,7128.429289420635,6802.674046697397,7434.293795684228,63.16197489868309,3,3,3
Case4,113,35.0,-2.0,7296.78,theta2,5.0,7128.429289420635,7281.950052038028,7099.008810514835,-18.294124152319274,3,3,3
Case4,166,-61.0,-3.0,8208.83,theta1,5.0,8097.305079789589,8104.840020816963,8044.12745551282,-6.071256530414303,2,2,2
Case4,166,-61.0,-3.0,8208.83,theta2,5.0,8097.305079789589,8171.316641420268,8107.658135808294,-6.3658505611973855,2,2,2
Case2,258,54.0,-18.0,8643.84,theta1,5.0,8562.283161204623,8508.021769261508,8566.63057321087,5.860880394936248,2,2,2
Case2,258,54.0,-18.0,8643.84,theta2,5.0,8562.283161204623,8772.971575070642,8354.504521881825,-41.84670531888169,2,2,2
Case3,270,10.0,76.0,8876.44,theta1,5.0,8697.139052895367,8602.99475916054,8970.93437052524,36.79396113646999,2,2,2
Case3,270,10.0,76.0,8876.44,theta2,5.0,8697.139052895367,8767.30371985821,8513.394668859237,-25.39090509989728,2,2,2
Case2,116,12.0,-85.0,9174.09,theta1,5.0,8973.347051770126,8764.94893513273,9218.440750337044,45.34918152043137,2,2,2
Case2,116,12.0,-85.0,9174.09,theta2,5.0,8973.347051770126,8991.05360608306,8947.650026920981,-4.340357916207904,2,2,2
Case2,274,30.0,-25.0,9485.0,theta1,5.0,9423.347053996298,9231.605734457477,9416.239421385835,18.463368692835864,3,3,2
Case2,274,30.0,-25.0,9485.0,theta2,5.0,9423.347053996298,10294.10679554399,8429.776084672396,-186.43307108715945,3,2,3
Case4,092,-38.0,-40.0,13258.17,theta1,5.0,13441.738270219475,12718.837957564952,12637.203564551395,-8.16343930135572,2,2,2
Case4,092,-38.0,-40.0,13258.17,theta2,5.0,13441.738270219475,12047.19552270738,12657.135000765753,60.993947805837344,2,2,2
