feature,scalar_importance,type_importance,curve_importance,combined_importance
angle_min_abs,0.5805998666636737,0.018062017297559175,0.5672701118726066,0.3886439986112798
d11,0.018384959674810516,0.06314327954001364,0.07221433630040924,0.05124752517174447
d12,0.07788014890295002,0.009535072399395605,0.04570565238693289,0.04437362456309283
d66,0.08060302332574062,0.00860208086864226,0.040449705686742325,0.04321826996037507
d11_d22_ratio,0.006404713100323103,0.09794943006496955,0.020372205583723206,0.04157544958300529
a11_a22_ratio,0.005902924394127813,0.09874474567594656,0.016548649140747416,0.04039877307027393
a11,0.01268019030344282,0.047768770135134364,0.051494061775029264,0.037314340737868816
bending_anisotropy,0.005721349367256283,0.0801053659577341,0.008965609504577884,0.031597441609856086
a12,0.056640868150077336,0.008557845424720668,0.028769708950970835,0.031322807508589616
a66,0.05654076815475401,0.007653542560293714,0.0279575533301283,0.030717288015058675
angle_max_abs,0.005739341624473903,0.05755114865797144,0.011073630006754527,0.024788040096399955
stack_balance_cos_sum,0.0036080434695421283,0.05605896906694307,0.008953244913556098,0.022873419150013768
membrane_anisotropy,0.00333717795666675,0.058101609982907546,0.00714507862802599,0.02286128885586676
a22,0.001794733606838015,0.06187414668000093,0.003934104916028423,0.02253432840095579
d22,0.00233583512193565,0.05624435651669027,0.005109325479198373,0.021229839039274764
angle_abs_mean,0.0034478286929051417,0.04177535217310567,0.016771474521762194,0.020664885129257668
angle_abs_std,0.005629684679758716,0.03392447166348601,0.00934837989225379,0.016300845411832837
theta1_cos_2,0.014921393838695179,0.022873348369002646,0.008934530475635373,0.015576424227777733
abs_theta1,0.011798198341841091,0.020642930344272663,0.00886350035068028,0.013768209678931345
theta_abs_diff,0.0025230612732956214,0.03604080120730716,0.002676451478582912,0.013746771319728566
theta1_cos_4,0.014575375464299932,0.006601158483546695,0.011678730135519901,0.010951754694455508
theta2_cos_2,0.003228447917664229,0.017890505466300697,0.0037903767796023907,0.00830311005452244
abs_theta2,0.003591094617806906,0.01255228152021274,0.0035000307083741865,0.006547802282131278
theta_product,0.005075016013972602,0.009507390583871341,0.003676984095678145,0.006086463564507362
stack_symmetry_mismatch,0.0002681080800388757,0.016423691746372936,0.00030568231553276007,0.005665827380648191
theta2_cos_4,0.0061061999090298484,0.004301216762162429,0.005429977928365403,0.005279131533185893
theta_diff,0.0008446812677751439,0.007772056129754372,0.0009707198434469017,0.0031958190803254723
case_case3,0.0021827471670486046,0.0036506753550332722,0.0012183631464207738,0.0023505952228342173
theta1,0.0010154249926405052,0.0046113552476582335,0.0008904523417329225,0.0021724108606772205
theta_sum,0.0008156269310652934,0.003719451498571695,0.0007511179412442672,0.0017620654569604187
theta2,0.0008592138844832072,0.0030426689448380677,0.0007986366466913953,0.0015668398253375568
theta1_sin_2,0.0006711884028613936,0.0027150148841185227,0.0009972134995741592,0.0014611389288513585
theta1_sin_4,0.0011671692745063573,0.0019555288694955452,0.0009150844830972674,0.0013459275423663899
theta2_sin_2,0.0007522851850171339,0.0024735335177624063,0.0007471728825727146,0.0013243305284507516
theta2_sin_4,0.0008549653976235272,0.0021020033019617857,0.0009879496666373544,0.001314972788740889
d26,0.00025809201718914954,0.0030388083273437745,0.0001585143792902657,0.0011518049079410632
case_case4,4.7273115285764116e-05,0.0021975485093236147,5.55350874987523e-06,0.0007501250444530847
d_coupling_norm,0.0005040469147272142,0.0015399618700440766,0.0001831497145907586,0.0007423861664540165
b26,0.00010951291962260322,0.00198797544725671,9.063995870237637e-05,0.0007293761085272297
d16,0.0003834987300874781,0.0015857104504602942,0.00018046998233141057,0.0007165597209597276
case_case2,2.458206841653193e-05,0.0019270198246874677,7.877796967615618e-06,0.0006531598966905385
b16,9.937084199106535e-05,0.0016581618622776198,6.999264052317372e-05,0.0006091751149306196
b_coupling_norm,7.196824373835674e-05,0.0015369968108488246,8.799441000806794e-05,0.000565653154865083
