feature,scalar_importance,type_importance,curve_importance,combined_importance
angle_min_abs,0.4862982122387653,0.013436145257444654,0.475660610942757,0.3251316561463223
a11,0.05404748345613755,0.06407934024461351,0.10613782852637246,0.07475488407570784
d11,0.05211137130615922,0.06602277216854699,0.10378999955555955,0.07397471434342191
d12,0.08216080224112933,0.013122481671618932,0.0466664295771398,0.04731657116329602
a66,0.0805192026832962,0.010211857368059954,0.049748751171713596,0.046826603741023244
d66,0.0756062758456609,0.009945519982995268,0.044710987784332475,0.04342092787099622
a12,0.06933025380014265,0.011626662013203138,0.04533011452608178,0.04209567677980919
a11_a22_ratio,0.008543460104462417,0.09407358910482891,0.012002398148441992,0.038206482452577774
d11_d22_ratio,0.00790407326717405,0.09072380077286472,0.014229034573140963,0.03761896953772658
bending_anisotropy,0.01229011152704376,0.07552882801548408,0.012728683972802591,0.03351587450511014
angle_abs_mean,0.007966911678647328,0.06453847112424907,0.022147986858894984,0.03155112322059713
membrane_anisotropy,0.014976435197677726,0.06569892710338358,0.011672764025551027,0.030782708775537446
stack_balance_cos_sum,0.009677175238869325,0.06498962950500617,0.013091197440712172,0.029252667394862555
a22,0.0032212986985764944,0.0702987430544885,0.00467614479890432,0.026065395517323106
d22,0.0031595114602751685,0.06540810638488789,0.003553552433181444,0.024040390092781503
angle_max_abs,0.0030979505933703792,0.0412869083706493,0.004175029221752934,0.01618662939525754
angle_abs_std,0.005664576744235574,0.030132687679600565,0.008660030997591885,0.014819098473809342
theta_abs_diff,0.0013763372037326916,0.027328186032493703,0.0013020708561247059,0.0100021980307837
stack_symmetry_mismatch,0.00023348103750177448,0.025419678922767985,0.00019016682770948932,0.00861444226265975
theta2_cos_2,0.0013671408951505095,0.014647774385231254,0.00212854277840886,0.006047819352930208
theta1_cos_2,0.0015170354615674946,0.014874607976421527,0.0013989808031184441,0.005930208080369155
abs_theta1,0.0013230731967158668,0.012395302897842327,0.0007241783128235235,0.004814184802460572
abs_theta2,0.0014772604638732011,0.009474202017737852,0.0022310182831922314,0.004394160254934428
theta2_cos_4,0.005475839714372613,0.0035856560741710916,0.003649251802094351,0.004236915863546019
theta_product,0.0018193631379820124,0.00616215288548293,0.0013671948644545864,0.003116236962639843
theta1_cos_4,0.0031325837554126465,0.0027512803271981714,0.0034295392319317348,0.003104467771514184
theta_diff,0.0005888082734208901,0.0062927895376508215,0.000507496023383052,0.0024630312781515878
theta_sum,0.0004875563132590009,0.0029759101161836083,0.0005324903456383611,0.0013319855916936567
theta1,0.00043977017307570185,0.0026993452167546634,0.0005047105825263711,0.0012146086574522455
theta2,0.0006171716509351629,0.002286483432453207,0.0005552984826492645,0.0011529845220125446
d26,0.000264376780532008,0.0025468085153962784,4.844343234999774e-05,0.0009532095760927615
theta2_sin_2,0.00044632898301655966,0.0018832624310086683,0.0004532147856023925,0.0009276020665425402
theta2_sin_4,0.0005397423110654921,0.0015571474401707486,0.0005602388790743786,0.0008857095434368732
theta1_sin_4,0.0007420588043621115,0.001087547635605761,0.0005116723039269602,0.0007804262479649443
theta1_sin_2,0.0004369578294464835,0.0012257363564554767,0.0006409405642984075,0.0007678782500667893
case_case2,1.3541083639228032e-05,0.002220595827506902,4.258807912255003e-06,0.000746131906352795
d16,0.0004260129552691041,0.0011301059295656867,9.692490534808328e-05,0.0005510145967276247
d_coupling_norm,0.000455065715853449,0.0009058162969759644,0.00010674565279615575,0.0004892092218751898
b_coupling_norm,3.9454976184103304e-05,0.0012500556534004211,1.920141310194495e-05,0.0004362373475621565
case_case4,5.7798767172473394e-05,0.0011303636992765942,4.7986466464236724e-06,0.0003976537043651638
case_case3,6.000287260572056e-05,0.0010690936954345404,8.965482886155124e-06,0.000379354016975472
b26,4.3708003776670344e-05,0.0010253810784265395,2.1093973930908787e-05,0.0003633943520447062
b16,4.4423558453725285e-05,0.0009502457964620354,2.1017403140033612e-05,0.0003385622526852648
