case,test_id,theta1,theta2,true_pt,variable,delta_deg,base_pt,minus_pt,plus_pt,central_sensitivity_pt_per_deg,base_type_pred,minus_type_pred,plus_type_pred
Case4,054,-17.0,-44.0,3858.23,theta1,5.0,3858.2299999999836,9140.924144444481,8529.693777777871,-61.12303666666103,2,2,2
Case4,054,-17.0,-44.0,3858.23,theta2,5.0,3858.2299999999836,5288.3893888889215,6912.2117555555815,162.382236666666,2,2,2
Case4,113,35.0,-2.0,7296.78,theta1,5.0,7296.780000000036,7094.80852222216,7729.349033333329,63.454051111116954,3,3,2
Case4,113,35.0,-2.0,7296.78,theta2,5.0,7296.780000000036,7602.1243111111135,7333.729088888882,-26.83952222222315,3,3,3
Case4,166,-61.0,-3.0,8208.83,theta1,5.0,8208.830000000062,8209.230899999975,8167.912466666637,-4.131843333333836,2,2,2
Case4,166,-61.0,-3.0,8208.83,theta2,5.0,8208.830000000062,8291.011277777734,8199.03899999996,-9.197227777777334,2,2,2
Case2,258,54.0,-18.0,8643.84,theta1,5.0,8643.839999999902,8878.586666666637,8680.78348888895,-19.780317777768687,2,2,2
Case2,258,54.0,-18.0,8643.84,theta2,5.0,8643.839999999902,8937.612900000015,8426.135077777832,-51.147782222218304,2,2,2
Case3,270,10.0,76.0,8876.44,theta1,5.0,8876.44000000017,8489.788744444488,8805.85282222223,31.60640777777426,2,2,2
Case3,270,10.0,76.0,8876.44,theta2,5.0,8876.44000000017,8853.113288888975,8793.667811111216,-5.944547777775915,2,2,2
Case2,116,12.0,-85.0,9174.09,theta1,5.0,9174.089999999898,8451.765677777777,8956.321477777712,50.45557999999346,2,2,2
Case2,116,12.0,-85.0,9174.09,theta2,5.0,9174.089999999898,9127.137044444378,9077.975811111039,-4.916123333333962,2,2,2
Case2,274,30.0,-25.0,9485.0,theta1,5.0,9485.0,9127.724188888838,9300.144122222271,17.24199333334327,3,3,2
Case2,274,30.0,-25.0,9485.0,theta2,5.0,9485.0,10440.338488888803,8711.950911111082,-172.83875777777212,3,2,3
Case4,092,-38.0,-40.0,13258.17,theta1,5.0,13258.169999999935,12856.279788888827,11145.589266666748,-171.06905222220794,2,2,2
Case4,092,-38.0,-40.0,13258.17,theta2,5.0,13258.169999999935,12820.743099999941,11655.401433333418,-116.53416666665234,2,2,2
