case,test_id,theta1,theta2,true_pt,variable,delta_deg,base_pt,minus_pt,plus_pt,central_sensitivity_pt_per_deg,base_type_pred,minus_type_pred,plus_type_pred
Case4,054,-17.0,-44.0,3858.23,theta1,5.0,3858.2299999999836,9195.54352222223,8463.332666666705,-73.22108555555242,2,2,2
Case4,054,-17.0,-44.0,3858.23,theta2,5.0,3858.2299999999836,5015.533544444463,6534.397555555597,151.88640111111346,2,2,2
Case4,113,35.0,-2.0,7296.78,theta1,5.0,7296.780000000036,7164.894055555495,7748.106000000001,58.32119444445061,3,3,2
Case4,113,35.0,-2.0,7296.78,theta2,5.0,7296.780000000036,7598.071811111108,7300.730477777739,-29.73413333333692,3,3,3
Case4,166,-61.0,-3.0,8208.83,theta1,5.0,8208.830000000062,8206.501188888884,8161.942533333327,-4.455865555555647,2,2,2
Case4,166,-61.0,-3.0,8208.83,theta2,5.0,8208.830000000062,8259.5825333333,8183.148222222174,-7.643431111112568,2,2,2
Case2,258,54.0,-18.0,8643.84,theta1,5.0,8643.839999999902,8716.742933333278,8681.990144444477,-3.4752788888801662,2,2,2
Case2,258,54.0,-18.0,8643.84,theta2,5.0,8643.839999999902,8905.108188888917,8383.676866666729,-52.14313222221881,2,2,2
Case3,270,10.0,76.0,8876.44,theta1,5.0,8876.44000000017,8611.651000000016,8808.37286666667,19.672186666665404,2,2,2
Case3,270,10.0,76.0,8876.44,theta2,5.0,8876.44000000017,8876.480311111183,8782.073844444501,-9.440646666668181,2,2,2
Case2,116,12.0,-85.0,9174.09,theta1,5.0,9174.089999999898,8488.78609999999,8962.81679999993,47.40306999999393,2,2,2
Case2,116,12.0,-85.0,9174.09,theta2,5.0,9174.089999999898,9132.653088888825,9083.57842222215,-4.90746666666746,2,2,2
Case2,274,30.0,-25.0,9485.0,theta1,5.0,9485.0,9224.738188888867,9246.55878888889,2.182060000002275,3,3,2
Case2,274,30.0,-25.0,9485.0,theta2,5.0,9485.0,10149.2250555555,8750.735233333306,-139.84898222221946,3,2,3
Case4,092,-38.0,-40.0,13258.17,theta1,5.0,13258.169999999935,12830.7146555555,11090.97358888894,-173.9741066666558,2,2,2
Case4,092,-38.0,-40.0,13258.17,theta2,5.0,13258.169999999935,12664.535777777715,11693.404766666712,-97.11310111110033,2,2,2
