feature,scalar_importance,type_importance,curve_importance,combined_importance
angle_min_abs,0.5805998666636737,0.018062017297559175,0.570475418116697,0.3897124340259766
d11,0.018384959674810516,0.06314327954001364,0.07363105479555875,0.05171976467012764
d12,0.07788014890295002,0.009535072399395605,0.04492557650168761,0.04411359926801108
d66,0.08060302332574062,0.00860208086864226,0.040238728623202984,0.043147944272528625
d11_d22_ratio,0.006404713100323103,0.09794943006496955,0.020633830128077544,0.04166265776445673
a11_a22_ratio,0.005902924394127813,0.09874474567594656,0.016411848710077753,0.040353172926717376
a11,0.01268019030344282,0.047768770135134364,0.04993978778381749,0.03679624940746489
bending_anisotropy,0.005721349367256283,0.0801053659577341,0.00795467081589214,0.03126046204696084
a12,0.056640868150077336,0.008557845424720668,0.028272202621411488,0.031156972065403164
a66,0.05654076815475401,0.007653542560293714,0.0283817171568487,0.030858675957298812
angle_max_abs,0.005739341624473903,0.05755114865797144,0.011246997445033154,0.02484582924249283
membrane_anisotropy,0.00333717795666675,0.058101609982907546,0.00685593627572903,0.022764908071767776
stack_balance_cos_sum,0.0036080434695421283,0.05605896906694307,0.008225085278475517,0.02263069927165357
a22,0.001794733606838015,0.06187414668000093,0.003691273915136818,0.02245338473399192
d22,0.00233583512193565,0.05624435651669027,0.005568674351270244,0.021382955329965387
angle_abs_mean,0.0034478286929051417,0.04177535217310567,0.016227643348782725,0.020483608071597846
angle_abs_std,0.005629684679758716,0.03392447166348601,0.008711279520648995,0.016088478621297905
theta1_cos_2,0.014921393838695179,0.022873348369002646,0.010331667896911553,0.01604213670153646
theta_abs_diff,0.0025230612732956214,0.03604080120730716,0.002572850124113737,0.013712237534905506
abs_theta1,0.011798198341841091,0.020642930344272663,0.007898180366634127,0.01344643635091596
theta1_cos_4,0.014575375464299932,0.006601158483546695,0.011917387246279429,0.011031307064708685
theta2_cos_2,0.003228447917664229,0.017890505466300697,0.0037235717899240235,0.00828084172462965
abs_theta2,0.003591094617806906,0.01255228152021274,0.00403263644939492,0.006725337529138189
theta_product,0.005075016013972602,0.009507390583871341,0.0037385262568284264,0.006106977618224123
stack_symmetry_mismatch,0.0002681080800388757,0.016423691746372936,0.00027015832588487925,0.0056539860507655625
theta2_cos_4,0.0061061999090298484,0.004301216762162429,0.005071942096692712,0.005159786255961664
theta_diff,0.0008446812677751439,0.007772056129754372,0.0009382156510605934,0.0031849843495300365
case_case3,0.0021827471670486046,0.0036506753550332722,0.0014007699859675327,0.002411397502683137
theta1,0.0010154249926405052,0.0046113552476582335,0.0008959795172066993,0.0021742532525018126
theta_sum,0.0008156269310652935,0.003719451498571695,0.0007899277335776467,0.0017750020544048785
theta2,0.0008592138844832072,0.0030426689448380677,0.0008919785766424796,0.0015979538019879182
theta1_sin_2,0.0006711884028613935,0.0027150148841185227,0.000973713204128423,0.001453305497036113
theta1_sin_4,0.0011671692745063573,0.0019555288694955452,0.0008832932831429928,0.001335330475714965
theta2_sin_2,0.0007522851850171339,0.0024735335177624063,0.00068984435692544,0.00130522101990166
theta2_sin_4,0.0008549653976235274,0.0021020033019617857,0.0009105362910021834,0.001289168330195832
d26,0.00025809201718914965,0.0030388083273437745,0.00014059978166908413,0.0011458333754006693
case_case4,4.727311528576448e-05,0.0021975485093236147,5.449424052804472e-06,0.0007500903495540612
d_coupling_norm,0.0005040469147272142,0.0015399618700440766,0.00015201230270388326,0.0007320070291583913
b26,0.00010951291962260322,0.00198797544725671,5.769754180833846e-05,0.0007183953028958839
d16,0.0003834987300874781,0.0015857104504602942,0.00017589431270151592,0.0007150344977497628
case_case2,2.4582068416531832e-05,0.0019270198246874677,6.509502400200538e-06,0.0006527037985014
b16,9.937084199106535e-05,0.0016581618622776198,6.623428010834964e-05,0.0006079223281256782
b_coupling_norm,7.196824373835669e-05,0.0015369968108488246,7.269831389019468e-05,0.0005605544561591253
