feature,scalar_importance,type_importance,curve_importance,combined_importance
theta1_cos_2,0.1524920745609326,0.1328247065348345,0.16339333225639102,0.1495700377840527
theta2_cos_4,0.22486658708766422,0.041249293709299355,0.15067463512640386,0.1389301719744558
theta2_cos_2,0.11537837821173426,0.13282483568957015,0.15549606772730598,0.1345664272095368
abs_theta1,0.1349927421517085,0.10976941540644447,0.14921758322022755,0.13132658025946017
abs_theta2,0.10716878994329708,0.1060314657307431,0.14594299888786386,0.11971441818730133
theta1_cos_4,0.16043788967154649,0.034214074608324194,0.12188418405698132,0.10551204944561733
theta_abs_diff,0.016227206702081484,0.14402094775054297,0.023093008415689432,0.06111372095610463
theta_product,0.05064602441081047,0.06068139661809326,0.05227364794878183,0.05453368965922852
theta_diff,0.003792891163511611,0.05350990048127054,0.0038959058454832176,0.020399565830088458
theta1,0.0082227852374363,0.035951003277506215,0.008230933847431315,0.017468240787457942
theta_sum,0.0031860621326546697,0.04421841340423728,0.0029262175394731207,0.01677689769212169
theta2,0.005073327746612075,0.03841025900096918,0.005146726434184749,0.016210104393922
theta1_sin_2,0.004528403198320019,0.01587889736674651,0.00491599083240982,0.008441097132492118
theta2_sin_2,0.0043894656705575795,0.015218757338685473,0.004814495494779724,0.008140906168007592
theta2_sin_4,0.00363360211809256,0.01495130110781054,0.0038760170936212304,0.007486973439841445
theta1_sin_4,0.004080203216000194,0.014236575450858671,0.0041414445582664055,0.00748607440837509
case_case4,0.0007085394505584977,0.001829495511140771,2.1366500532847156e-05,0.0008531338207440385
case_case2,8.455538913788963e-05,0.0023306049304065036,3.36406217268702e-05,0.0008162669804237544
case_case3,9.04719373435633e-05,0.0018486560825163457,2.1803592446118224e-05,0.0006536438707686758
