case,test_id,theta1,theta2,true_pt,variable,delta_deg,base_pt,minus_pt,plus_pt,central_sensitivity_pt_per_deg,base_type_pred,minus_type_pred,plus_type_pred
Case4,054,-17.0,-44.0,3858.23,theta1,5.0,3858.2299999999836,9207.532922222215,8496.135466666778,-71.13974555554378,2,2,2
Case4,054,-17.0,-44.0,3858.23,theta2,5.0,3858.2299999999836,5223.558177777804,6391.819311111142,116.8261133333338,2,2,2
Case4,113,35.0,-2.0,7296.78,theta1,5.0,7296.780000000036,7049.769066666631,7550.312333333343,50.0543266666712,3,3,3
Case4,113,35.0,-2.0,7296.78,theta2,5.0,7296.780000000036,7509.454533333341,7323.3703999999525,-18.60841333333883,3,3,3
Case4,166,-61.0,-3.0,8208.83,theta1,5.0,8208.830000000062,8198.202288888893,8141.159411111096,-5.7042877777797,2,2,2
Case4,166,-61.0,-3.0,8208.83,theta2,5.0,8208.830000000062,8222.838711111064,8188.0135333332655,-3.4825177777798673,2,2,2
Case2,258,54.0,-18.0,8643.84,theta1,5.0,8643.839999999902,8621.392077777704,8617.394111111074,-0.3997966666629509,2,2,2
Case2,258,54.0,-18.0,8643.84,theta2,5.0,8643.839999999902,8889.85976666671,8344.959300000077,-54.49004666666333,2,2,2
Case3,270,10.0,76.0,8876.44,theta1,5.0,8876.44000000017,8622.162066666719,8823.080511111126,20.09184444444072,2,2,2
Case3,270,10.0,76.0,8876.44,theta2,5.0,8876.44000000017,8871.142855555652,8750.144577777872,-12.099827777778046,2,2,2
Case2,116,12.0,-85.0,9174.09,theta1,5.0,9174.089999999898,8530.060966666679,9038.995566666565,50.89345999998859,2,2,2
Case2,116,12.0,-85.0,9174.09,theta2,5.0,9174.089999999898,9026.233377777688,9115.33503333325,8.910165555556159,2,2,2
Case2,274,30.0,-25.0,9485.0,theta1,5.0,9485.0,9211.119411111087,9298.013255555572,8.689384444448478,3,3,2
Case2,274,30.0,-25.0,9485.0,theta2,5.0,9485.0,9989.79358888885,8683.051444444402,-130.6742144444448,3,2,3
Case4,092,-38.0,-40.0,13258.17,theta1,5.0,13258.169999999935,12628.5514666666,11404.268355555507,-122.42831111110937,2,2,2
Case4,092,-38.0,-40.0,13258.17,theta2,5.0,13258.169999999935,12262.38476666661,11918.232022222235,-34.41527444443746,2,2,2
