geometry,panel_a_in,panel_b_in,source_dataset,case,test_id,theta1,theta2,pt,predicted_type,confidence,type1_probability,type2_probability,type3_probability,review_priority,csv_path,plot_path
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_001,65.0,19.0,5245.443709754744,2,0.6383333333333333,0.075,0.6383333333333333,0.2866666666666667,high,data/New_data/8x8_Case2/csv/force_disp_Test_001.csv,data/New_data/8x8_Case2/Ori/plot_Test_001_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_002,40.0,-51.0,7023.092989393881,2,0.525,0.355,0.525,0.12,high,data/New_data/8x8_Case2/csv/force_disp_Test_002.csv,data/New_data/8x8_Case2/Ori/plot_Test_002_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_003,-44.0,65.0,6340.934290963928,2,0.5766666666666667,0.3516666666666667,0.5766666666666667,0.07166666666666667,high,data/New_data/8x8_Case2/csv/force_disp_Test_003.csv,data/New_data/8x8_Case2/Ori/plot_Test_003_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_004,49.0,48.0,7615.382084736431,1,0.505,0.505,0.4216666666666667,0.07333333333333333,high,data/New_data/8x8_Case2/csv/force_disp_Test_004.csv,data/New_data/8x8_Case2/Ori/plot_Test_004_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_005,-52.0,20.0,5859.475917983462,2,0.5783333333333334,0.06166666666666667,0.5783333333333334,0.36,high,data/New_data/8x8_Case2/csv/force_disp_Test_005.csv,data/New_data/8x8_Case2/Ori/plot_Test_005_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_006,-15.0,-74.0,4656.4360621187025,2,0.6733333333333333,0.058333333333333334,0.6733333333333333,0.2683333333333333,high,data/New_data/8x8_Case2/csv/force_disp_Test_006.csv,data/New_data/8x8_Case2/Ori/plot_Test_006_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_007,51.0,-83.0,5354.975808791502,2,0.495,0.4216666666666667,0.495,0.08333333333333333,high,data/New_data/8x8_Case2/csv/force_disp_Test_007.csv,data/New_data/8x8_Case2/Ori/plot_Test_007_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_008,86.0,9.0,3971.12592521655,3,0.4866666666666667,0.12,0.3933333333333333,0.4866666666666667,high,data/New_data/8x8_Case2/csv/force_disp_Test_008.csv,data/New_data/8x8_Case2/Ori/plot_Test_008_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_009,-63.0,21.0,5484.306752952295,2,0.6816666666666666,0.07,0.6816666666666666,0.24833333333333332,high,data/New_data/8x8_Case2/csv/force_disp_Test_009.csv,data/New_data/8x8_Case2/Ori/plot_Test_009_original.png
8x8,8.0,8.0,8x8_new_data_curve_classifier_v1,Case2,Test_010,-74.0,83.0,3176.3548254643347,1,0.4766666666666667,0.4766666666666667,0.47,0.05333333333333334,high,data/New_data/8x8_Case2/csv/force_disp_Test_010.csv,data/New_data/8x8_Case2/Ori/plot_Test_010_original.png
