campaign_id,simulation_id,pair_id,phase,selection_stratum,geometry,panel_a_in,panel_b_in,case,theta1,theta2,case_formula,group_key,result_status
UV3S1,UV3S1-P021-6x4-Case2,P021,confirmatory,maximin_gap,6x4,6.0,4.0,Case2,-79,-65,[[+/-theta1]/[+/-theta2]]4,Case2|-79|-65,planned_blind
UV3S1,UV3S1-P021-6x4-Case3,P021,confirmatory,maximin_gap,6x4,6.0,4.0,Case3,-79,-65,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-79|-65,planned_blind
UV3S1,UV3S1-P021-6x4-Case4,P021,confirmatory,maximin_gap,6x4,6.0,4.0,Case4,-79,-65,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-79|-65,planned_blind
UV3S1,UV3S1-P021-6x8-Case2,P021,confirmatory,maximin_gap,6x8,6.0,8.0,Case2,-79,-65,[[+/-theta1]/[+/-theta2]]4,Case2|-79|-65,planned_blind
UV3S1,UV3S1-P021-6x8-Case3,P021,confirmatory,maximin_gap,6x8,6.0,8.0,Case3,-79,-65,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-79|-65,planned_blind
UV3S1,UV3S1-P021-6x8-Case4,P021,confirmatory,maximin_gap,6x8,6.0,8.0,Case4,-79,-65,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-79|-65,planned_blind
UV3S1,UV3S1-P021-8x8-Case2,P021,confirmatory,maximin_gap,8x8,8.0,8.0,Case2,-79,-65,[[+/-theta1]/[+/-theta2]]4,Case2|-79|-65,planned_blind
UV3S1,UV3S1-P021-8x8-Case3,P021,confirmatory,maximin_gap,8x8,8.0,8.0,Case3,-79,-65,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-79|-65,planned_blind
UV3S1,UV3S1-P021-8x8-Case4,P021,confirmatory,maximin_gap,8x8,8.0,8.0,Case4,-79,-65,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-79|-65,planned_blind
UV3S1,UV3S1-P022-6x4-Case2,P022,confirmatory,maximin_gap,6x4,6.0,4.0,Case2,-76,-90,[[+/-theta1]/[+/-theta2]]4,Case2|-76|-90,planned_blind
UV3S1,UV3S1-P022-6x4-Case3,P022,confirmatory,maximin_gap,6x4,6.0,4.0,Case3,-76,-90,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-76|-90,planned_blind
UV3S1,UV3S1-P022-6x4-Case4,P022,confirmatory,maximin_gap,6x4,6.0,4.0,Case4,-76,-90,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-76|-90,planned_blind
UV3S1,UV3S1-P022-6x8-Case2,P022,confirmatory,maximin_gap,6x8,6.0,8.0,Case2,-76,-90,[[+/-theta1]/[+/-theta2]]4,Case2|-76|-90,planned_blind
UV3S1,UV3S1-P022-6x8-Case3,P022,confirmatory,maximin_gap,6x8,6.0,8.0,Case3,-76,-90,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-76|-90,planned_blind
UV3S1,UV3S1-P022-6x8-Case4,P022,confirmatory,maximin_gap,6x8,6.0,8.0,Case4,-76,-90,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-76|-90,planned_blind
UV3S1,UV3S1-P022-8x8-Case2,P022,confirmatory,maximin_gap,8x8,8.0,8.0,Case2,-76,-90,[[+/-theta1]/[+/-theta2]]4,Case2|-76|-90,planned_blind
UV3S1,UV3S1-P022-8x8-Case3,P022,confirmatory,maximin_gap,8x8,8.0,8.0,Case3,-76,-90,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-76|-90,planned_blind
UV3S1,UV3S1-P022-8x8-Case4,P022,confirmatory,maximin_gap,8x8,8.0,8.0,Case4,-76,-90,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-76|-90,planned_blind
UV3S1,UV3S1-P023-6x4-Case2,P023,confirmatory,maximin_gap,6x4,6.0,4.0,Case2,-72,63,[[+/-theta1]/[+/-theta2]]4,Case2|-72|63,planned_blind
UV3S1,UV3S1-P023-6x4-Case3,P023,confirmatory,maximin_gap,6x4,6.0,4.0,Case3,-72,63,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-72|63,planned_blind
UV3S1,UV3S1-P023-6x4-Case4,P023,confirmatory,maximin_gap,6x4,6.0,4.0,Case4,-72,63,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-72|63,planned_blind
UV3S1,UV3S1-P023-6x8-Case2,P023,confirmatory,maximin_gap,6x8,6.0,8.0,Case2,-72,63,[[+/-theta1]/[+/-theta2]]4,Case2|-72|63,planned_blind
UV3S1,UV3S1-P023-6x8-Case3,P023,confirmatory,maximin_gap,6x8,6.0,8.0,Case3,-72,63,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-72|63,planned_blind
UV3S1,UV3S1-P023-6x8-Case4,P023,confirmatory,maximin_gap,6x8,6.0,8.0,Case4,-72,63,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-72|63,planned_blind
UV3S1,UV3S1-P023-8x8-Case2,P023,confirmatory,maximin_gap,8x8,8.0,8.0,Case2,-72,63,[[+/-theta1]/[+/-theta2]]4,Case2|-72|63,planned_blind
UV3S1,UV3S1-P023-8x8-Case3,P023,confirmatory,maximin_gap,8x8,8.0,8.0,Case3,-72,63,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-72|63,planned_blind
UV3S1,UV3S1-P023-8x8-Case4,P023,confirmatory,maximin_gap,8x8,8.0,8.0,Case4,-72,63,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-72|63,planned_blind
UV3S1,UV3S1-P024-6x4-Case2,P024,confirmatory,maximin_gap,6x4,6.0,4.0,Case2,-56,-14,[[+/-theta1]/[+/-theta2]]4,Case2|-56|-14,planned_blind
UV3S1,UV3S1-P024-6x4-Case3,P024,confirmatory,maximin_gap,6x4,6.0,4.0,Case3,-56,-14,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-56|-14,planned_blind
UV3S1,UV3S1-P024-6x4-Case4,P024,confirmatory,maximin_gap,6x4,6.0,4.0,Case4,-56,-14,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-56|-14,planned_blind
UV3S1,UV3S1-P024-6x8-Case2,P024,confirmatory,maximin_gap,6x8,6.0,8.0,Case2,-56,-14,[[+/-theta1]/[+/-theta2]]4,Case2|-56|-14,planned_blind
UV3S1,UV3S1-P024-6x8-Case3,P024,confirmatory,maximin_gap,6x8,6.0,8.0,Case3,-56,-14,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-56|-14,planned_blind
UV3S1,UV3S1-P024-6x8-Case4,P024,confirmatory,maximin_gap,6x8,6.0,8.0,Case4,-56,-14,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-56|-14,planned_blind
